2025/09/13 14:46:12 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:12 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:12 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:12 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:13 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:13 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:13 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:13 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:13 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:13 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:13 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:14 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:14 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:14 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:14 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:14 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:14 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:14 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:14 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:14 sim: snapshot players=1 entities=1 cells=1
2025/09/13 14:46:15 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:15 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:15 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:15 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:15 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:15 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:15 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:15 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:16 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:16 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:16 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:16 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:16 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:16 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:16 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:17 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:17 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:17 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:17 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:17 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:17 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:17 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:18 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:18 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:18 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:18 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:18 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:18 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:18 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:18 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:19 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:19 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:19 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:19 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:19 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:19 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:19 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:19 sim: snapshot players=1 entities=1 cells=2
2025/09/13 14:46:20 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:20 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:20 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:20 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:20 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:20 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:20 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:21 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:21 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:21 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:21 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:21 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:21 sim: snapshot players=1 entities=1 cells=3
2025/09/13 14:46:21 sim: snapshot players=1 entities=1 cells=3
